,Title,cates,commentCount,description,dislikeCount,favoriteCount,likeCount,viewCount
13,[해외반응] IZ*ONE 헤어스타일 대변신 EYES ON ME in Seoul,['Music'],161,"IZ*ONE 헤어스타일 대변신
레딧에 있는 여러개의 스레드를 모아서  번역해봤습니다
재밌게(?) 보셨다면 좋아요 +구독 버튼 한 번씩 부탁드려요~ㅎ",14,0,568,58885
14,[UPDATE] Alasan Kenapa IZ*ONE & Fromis_9 Tetap Memakai Ruangan Pledis Ent.,"['Performing_arts', 'Entertainment']",152,"Apakah kalian penasaran kenapa Fromis_9 dan IZ*ONE masih menggunakan training room nya Pledis Ent. meskipun sudah pindah ke Off the record ent.?

Jangan Lupa Di Like & Subscribe
Thank U",34,0,940,58761
15,【IZONE】ヒトミはうまくハングル読めるのか？　TMI②【日本語字幕】,"['Entertainment', 'Television_program']",9,"もっとうまくなってますよねｗ

最近は忙しいのでぼちぼち出していきます。 #izone #アイズワン #LaVieenRose",6,0,490,56683
16,【IZONE】IZ*ONE　おやすみ〜可愛すぎるｗｗｗｗｗｗ【日本語字幕】,"['Music_of_Asia', 'Music']",22,"ほんとに目が追い付かないｗｗ p.s.ミンジュ可愛いｗ
IZONE寝袋バトル
①:https://www.youtube.com/watch?v=BrHXwUMEe9Y
②:https://www.youtube.com/watch?v=y65bs_HPyFQ&t=23s

#izone #アイズワン #LaVieenRose",5,0,545,53701
17,4K 60P 아이즈원 (IZ*ONE) 쇼콘 엔딩 Ending 직캠 Fancam @IZ*ONE SHOW-CON by 팔도조선,['Music'],44,,9,0,678,43286
18,[VIET SUB][190131] IZ*ONE CITY -Tiết 2 - Lớp học làm đẹp,"['Entertainment', 'Television_program']",83,"Cùng IZ*ONE học cách trang điểm bạn nhé!
Theo dõi trang mình ở đây: https://www.facebook.com/YENAvn/",13,0,614,41979
19,[해외반응] IZ*ONE 아육대 참가 2탄,"['Entertainment', 'Film']",33,"중간중간 상황 이해를 돕고자 직캠영상을 넣었어요. 그 부분이 너무 길다고 느껴지시면 스킵하시면서 보시는게..
만들다보니 아이린-꾸라 내용이 좀 많네요. 급하게 만들다보니 미숙한부분이 많네요 양해부탁드려요 ㅜ",6,0,207,39766
20,[해외반응] IZ*ONE 아육대 참가,['Entertainment'],53,"스레드도 많고 자료도 뒤죽박죽 있어서 만드는데 생각보다 오래걸렸네요 ㅜㅜ맘 같아선 번역만 쭉써놓고 싶지만...사진도 구해야되고..관련 영상도 구해야하고..
아직 광배-지효/나코 친구생긴 썰/아이린-사쿠라/400미터 계주 등등 오늘 영상보다 2배 많은 자료가 남아있네요.. 시간이 되는대로 최대한빨리 만들어보겠습니다.",9,0,258,39709
21,[해외반응] IZ*ONE 유리를 보며 좋아하는(?) 카메라맨,['Music'],67,일본데뷔기념 AbemaTV 스페셜 토크쇼와 관련해서 재밌는 스레드가 올라와 있어서   번역해봤습니다. 뒷부분은 꾸라 바카 관련 스레드번역이있습니다,9,0,296,37754
22,[해외반응] IZ*ONE 사쿠라 혜원 예나 PC방 투어!,['Music'],55,20190303   IZONE/produce48 레딧에 있는 피시방 투어/ 분식집 방문    스레드를 번역해왔습니다,13,0,194,37162
23,[UPDATE] Netizen Kecewa Dengan Janji Yang Diberikan Oleh Agensi IZ*ONE,['Music'],232,,148,0,634,36648
24,"[UPDATE] IZ*ONE Pindah Agensi Dari Pledis Entertainment,Begini Pendapat Netizen Korea",['Entertainment'],346,,29,0,407,36517
25,"[해외반응] IZ*ONE  광배 마리텔 출연(+형돈,성규)",['Entertainment'],125,"IZ*ONE 광배 마리텔 출연(+형돈,성규)
레딧 반응이랑 중간중간에 영상도있어요  
마리텔 광배편 아직 안 보신분들 재방송으로 한번씩 봐보세요 꿀잼ㅋ",13,0,443,34546
26,[해외반응] IZ*ONE  일본 아레나 투어,['Music'],185,"아이즈원이 일본 투어 개최 소식을 깜짝 발표했는데요
장소는 고베월드기념홀,마쿠하리멧세,후쿠오카마린멧세 , 사이타마 슈퍼아레나 이라고 하네요 .  자세한 일정한 추후 공개 될예정인듯
관련 댓글들은 레딧에 있는 스레드에서 가져왔어요.
재밌게 보시고 좋아요와 구독버튼 한번씩 부탁드려요~",10,0,387,33015
27,IZ*ONE (아이즈원) - '好きと言わせたい (Suki to Iwasetai)'  dance cover,"['Music', 'Music_of_Asia']",39,"Music🎶 [ https://m.youtube.com/watch?v=dLymsYC7Kmo ]
Dancer💃 - チェゴ(Chego)(체고) 【  琴音(kotone)  maho  】
Subscribe ❤️
→http://www.youtube.com/channel/UCjyvXWWlijuhPH_gd0InDdA?sub_confirmation=1
   


お仕事のご依頼はこちらまで
chego.5.pp@gmail.com　　　


Twitter↓
http://twitter.com/chego_4

Instagram↓
https://www.instagram.com/chego_4

TikTok↓
ID 2153376988

haruka Twitter↓
https://mobile.twitter.com/01haruka15

Kotone Twitter↓
https://mobile.twitter.com/ko_to555

meeeeho↓
https://mobile.twitter.com/meeeeho0525

maho↓
https://mobile.twitter.com/Maaaho0221

Mix Channel にも動画投稿しています！
https://mixch.tv/u/8475740



#IZ*ONE#아이즈원#好きと言わせたい",17,0,630,31618
28,"아이즈원(IZ*ONE), ""아침부터 블링블링""","['Music_of_Asia', 'Music']",56,"[Dispatch=최정현기자] 그룹 ‘아이즈원’이 팬미팅 참석을 위해 29일 오전 김포국제공항을 통해 일본 도쿄로 출국했다.
.
#아이즈원 #IZONE #공항패션
디스패치 구독 클릭! Dispatch Subscribe - http://goo.gl/qS0KrC",5,0,585,29678
29,"IZ*ONE (아이즈원) - 비올레타 (Violeta) ,  Cover by 네버다희 Never dahee","['Music_of_Asia', 'Music']",187,"Instagram × https://instagram.com/daheeeee.2
Contact Mail × cooing_hee@naver.com
Mic  ×  MXL pop LSM-9
Inst × https://youtu.be/QiJQEvWW47U


——

라비앙로즈에 이어서 이번 노래도 너무 너무 좋지않나요?!
취향 저격입니다ㅜㅜ🥰

그리고 우리 기염둥이 메인보컬 유리 많이 사랑해쥬세여 여러분🤩❤️

(유리야아ㅏ~ 고모... 기억하지?!!?! 하핫 🌸🌸
이 영상을 보게 된다면 항상 응원하고 있다는 것을 알아주렴!!! 울 유리 빠팅!!!!!)


——

네버다희 채널을 찾아주셔서 감사합니다!
즐겁게 예쁘게 행복하게 들어주세요🥰✨

Welcome to Neverdahee's YouTube channel.
Enjoy my song ♪♪

ネバー多ヒのチャンネルを探してくださってありがとうございます!
楽しく,幸せに,聞いてください。♪(๑ᴖ◡ᴖ๑)♪

谢谢你来到 Neverdahee YouTube频道。
请听好我的歌 !!

——


Never dahee ☎︎ Ｓｅｅ ｙａ",19,0,1375,28000
30,IZ*ONE - PICK ME [DANCE PRACTICE + MIRRORED + SLOW 100%],"['Performing_arts', 'Entertainment']",2,IZ*ONE - PICK ME [DANCE PRACTICE + MIRRORED + SLOW 100%],3,0,304,28401
31,[해외반응] IZ*ONE 한국 컴백 임박?!!? 헤어스타일 대변신,['Music'],156,"20190309 상암 아이즈원멤버들의 헤어스타일이 바뀌었네요
컴백 임박?!?!
IZ*ONE/produce48 레딧에 있는스레드를번역해봤습니다",11,0,270,27412
32,[해외반응] IZ*ONE 컴백 컨셉 티저공개 ' Where the HEART IZ?',['Music'],112,"produce48/IZONE 레딧 스레드에 있는 댓글을 번역해 왔습니다
 민주 댓글 지분율이 80프로가 넘네요 ㄷㄷ 압도적으로 많음",7,0,302,25456
33,"[해외반응] IZ*ONE 아이돌룸 촬영   레딧,일본네티즌 반응+ 움짤모음",['Entertainment'],48,"20181017
 IZ*ONE 아이돌룸 촬영 레딧,일본네티즌 반응+ 움짤모음",8,0,100,24665
34,【IZONE】さくらが韓国語での名前を命名？！　TMI④【日本語字幕】,['Entertainment'],6,最近は忙しいのでぼちぼち出していきます。 #izone #アイズワン #Violeta,7,0,218,24692
35,[해외반응] 공항에서 과자받는 IZ*ONE 광배,['Entertainment'],71,"공항에서 과자받는 광배ㅋ 
번역이 매끄럽게 되진않아서 읽으시는데 약간 불편하실수도 있어요ㅜㅜ 다음영상은 더 신경써서  만들어보겠습니다
재밌게(?) 보셨다면 구독과 좋아요 한 번씩 부탁드려요~~
떡밥이 많이 생긴 관계로 다음영상도 최대한 빠르게만들어볼게요ㅎ",8,0,295,23421
36,[UPDATE] KNETZ Berpikir Bahwa Debut IZ*ONE Bakal Menjadi Bayangan Karena EXO (?),['Music'],167,,21,0,257,22339
37,[해외반응] IZ*ONE 방콕즈와 굿나잇~,['Music'],38,"IZ*ONE 방콕즈와 굿나잇~
izone 레딧에 있는 스레드를 모아서 번역해봤습니다
원래 각 주제마다 댓글이 많았는데 영상에 올리면 문제 되는 댓글들을(서양쪽에서는 문제 없지만 우리나라에서쓰면  안되는..)  거르다보니 정작 쓸만한 댓글은 많이 없네요.. 다시보기가 왜 안올라오냐는 내용으로 거의 모든 스레드에 토론(?)이 벌어지다보니 이것도내용이 중복되는게 많아서 뺐어요  많이 부족한 영상이지만
재밌게(?) 보셨다면 좋아요와 구독한번씩 부탁드려요ㅜㅜ  .",6,0,270,22209
38,"190706 Ending stage Day 1 KCON NY 2019 (NU'EST, ATEEZ, TXT, THE BOYZ, IZ*ONE)","['Music', 'Pop_music']",86,"Fancam. No copyright infringement intended. 

Please do not re-upload to YouTube. If you use my videos in any form, please credit me :)

Thanks & enjoy",6,0,570,21493
39,[해외반응] IZ*ONE Vlive 영상 파괴자들,['Music'],30,"IZ*ONE 영상파괴자들
해외네티즌들의 댓글을 번역해왔어요
재밌게 보시고 ♥구독♥좋아요♥알림설정♥ 부탁드려요~",8,0,235,21294
40,[해외반응] IZ*ONE 비올레타 MV Teaser 2 공개,"['Pop_music', 'Music_of_Asia', 'Music']",74,"20190329 IZ*ONE 비올레타 MV Teaser 2
아이즈원츄2너무  꿀잼이네요 ㅋㅋ 뮤비도 빨리나왔으면~~",2,0,233,20955
41,[해외반응] IZ*ONE KCON 뉴욕,['Music'],30,"IZ*ONE KCON 뉴욕
아이즈원 절.대.연.장.해",2,0,360,20725
42,[해외반응] IZ*ONE 태국콘서트 하러 가는 길,['Music'],51,"IZ*ONE 태국콘서트가 6월 16일에 있어서
태국으로 날아갔네요~~ 태국에서 인기 많은가봐요.
레딧에 있던 여러개의 스레드를 모아서 번역했습니다.
원래 영상 뒷부분에 더 이어서 하려고했는데 주제가 갑자기 바뀌는거 같아서 뺐네요. 이건 다음 영상 업로드할때 올려드릴게요  
재밌게보시고 좋아요 구독 한 번씩 부탁드려요~",2,0,276,20582
43,"[해외반응] IZ*ONE Ayayaya, So curious  1ST CONCER in SEOUL","['Electronic_music', 'Music']",62,"IZ*ONE Ayayaya, So curious  1ST CONCER in SEOUL 
첫 단독 콘서트에서 신곡 2개를 공개했습니다. 
신곡 2개에 대한 레딧반응입니다
Ayayaya의 반응이 압도적으로 많아서 분량을 조절해서 올렸어요
(영상에 올린거에 3배 분량의 댓글이 더 있었음...)
재밌게(?) 보셨다면 좋아요와 구독버튼 한번씩 부탁드려요~",6,0,266,20559
44,[IZ*ONE 아이즈원] 실시간 뉴욕 입성한 아이즈원  NY arrived.,['Entertainment'],61,뉴욕 도착한 아이즈원,5,0,237,19664
45,Yena Kok Jungle ?? Nih Makan Yena Iz*ONE !!! AOV Indonesia,"['Role-playing_video_game', 'Video_game_culture', 'Strategy_video_game', 'Action_game']",161,"Link Pembelian Voucher AOV Via Unipin
https://AOV.unipin.com


Facebook Unipin
https://www.facebook.com/VoucherUniPin/

jangan lupa like, share and subscribe ya..

#OldManGame #arenaofvalor
Support terus gaess

Follow juga IG gua 
@mikaelanthony18
https://www.instagram.com/?hl=id

And facebook fanpage gw coy
Mikael Anthony
https://www.facebook.com/MikhaAnthony18/


Untuk pembelian merchandise arena of valor, kalian bisa mengunjungi

https://www.Tokopedia.com/hargabeda

https://www.shopee.co.id/hargabeda

https://www.bukalapak.com/hargabeda

VIDEO EDITING BY 

Filmora 
https://www.wondershare.net

iMOVIE
https://www.apple.com/imovie/

Backsound
https://www.youtube.com/user/NoCopyrightSounds






SALAM SANTAI",33,0,569,19629
46,【IZONE】チェヨンの細かな癖とは？！TMI①【日本語字幕】,['Music'],6,"メンバーの手紙交換:https://www.youtube.com/watch?v=rGgi0vghL4o

お久しぶりです～。最近は忙しいのでぼちぼち出していきます。


#izone #アイズワン #LaVieenRose",3,0,247,18786
47,【IZONE】ウンビだけが知っているイェナの秘密？　TMI③【日本語字幕】,['Entertainment'],4,"もっとうまくなってますよねｗ

最近は忙しいのでぼちぼち出していきます。 #izone #アイズワン #Violeta",2,0,165,18692
48,[해외반응]  IZ*ONE 일본잡지촬영 대참사(?)(feat.한국위즈원반응),['Music'],115,"일본잡지촬영 대참사 엌ㅋㅋㅋ
앞부분: 레딧 반응
뒷부분: 한국 위즈원 반응",12,0,109,18092
49,[해외반응] IZ*ONE 앚망진창,['Music'],41,"IZ*ONE 레딧에 있는 스레드를 번역해왔습니다
만들어 놓은지는 좀 됐었는데 중간고사때문에 이제야 올리네요",4,0,190,16670
