,Title,cates,commentCount,description,dislikeCount,favoriteCount,likeCount,viewCount
35,อาเย อาเย BLACKPINK แดนซ์มันๆ#DJ RDAM REMIX,"['Electronic_music', 'Music']",25,"#FACEBOOK https://m.facebook.com/profile.php
#แค่กดติดตามdjก็ดีใจแล้วจร้า#อย่าลืมกดสับตระไคร้นะ#please subscribe  

   #DJ RDAM REMIX    
         #วีดีโอนี้จัดทำขึ้นพื่อความบันเทิงเท่านั้น
         #ไม่มีเจตนาที่จะละเมิดลิขสิทธิ์ใดๆทั้งสิ้น
   =================================
       ขอบคุณเพลงจากต้นฉบับ ทุกท่าน ด้วยนะครับ
เพลงแดนซ์มันๆ 2018 เพลงแดนซ์ ขอบคุณทุกท่านที่กดแชร์ กดติดตามด้วยนะครับ
ต้องขออนุญาต เจ้าของรูปด้วยนะครับ ที่นำรูปมาประกอบ 
---------------------------
ฝากกดไลค์ กดแชร์เพื่อเป็นกำลังใจในการทำเพลงชุดต่อไปด้วยนะครับ
#แนะนำเพลงติชมผลงานได้ที่https://www.facebook.com/profile.php?id=100022958862145
#djrdam remix #RDAM RDAM 
*******************
ขอบคุณเพลงจากต้นฉบับ ทุกท่านด้วยนะครับ
ไม่อนุญาติให้นำ Nonstop แทร็กนี้ไปอัพใหม่หรือนำไปลงในช่องของคุณ
 #เพลงแดนซ์#ซาวด์ตึ๊บ #เพลงแดนซ์ยาวๆ








*****************************************************
#เพลงแดนซ์มันๆ I #เพลงแดนซ์มันๆ I #ต้อนรับปีใหม่ 2018 I #Happy New Year 2018 I #แดนซ์2016 I 
#เพลงแดนซ์ Iเพลงแดนซ์มันๆ I รวมเพลงแดนซ์ I ดีเจโซดา I แดนซ์มันๆ I 2018 
I แดนซ์ Iแดนซ์2018 I nonstop dj-pao-remix I pao remix I dj pao remix
#เพลงแดนซ์ยาวๆ #เพลงแดนซ์ #เพลงEDM #เพลงตื๊ด #เพลงฮิตติดผับ #เพลงฮิตในผับ #เพลงดังในผับ #เพลงตื๊ดในผับ #เพลงตื๊ดติดผับ
 #เพลงตื๊ดติดชาร์ต #เพลงตื๊ด2017 #เพลงฮิตติดผับ2017 #เพลงฮิตในผับ2016#เพลงตื๊ดในผับ2016 #เพลงตื๊ดติดผับ2017
#คุณแดนซ์ 2016-2017 #แดนซ์มันๆ2016-2017 #เพลงแดนซ์2016-2017 #เพลงแดนซ์มันๆ2016-2017 #โคโยตี้ไทยรถ2016
#รถโคโยตี้ไทย2016 #แดนซ์มันส์ๆ #แดนซ์3ช่า #แดนซ์ชาโด้ #เพลงแดนซ์มันส์ๆ #เพลงแดนซ์3ช่า #เพลงแดนซ์ชาโด้ #BreakMix 
#EDM #สายย่อยกล้อ #แดนซ์สายย่อ #สายย่อ2016 #ว่าไงสายย่อ #ว่าไงสายแจ๊ะ #แจ๊ะแจ๊ะ #แจ๊ะพ่อง #MiniNonstop 
#NonstopMix #แดนซ์ชาโด้จิ๊กโก๋3ช่า #CRDJTHAILAND 
#CWDJTHAILAND #ดีเจอ๊อฟ #ดีเจอ๊อฟเจ้าเก่า #ดีเจอ๊อฟแอบจิต #ดีเจฟิว #ดีเจฟิวรีมิกซ์ #DJFew #DJFewRemix 
#Thefunfactory #ThefunfactoryRMX #JackThefun 
#JackFunfac #Funfactory #DJRNSR #DJSunch#DJPao aiSR #DJPaoRemix #DJbOe 
#DJbOeRemixer #DJ40Degree #40Degree 
#DJ40DegreeChaChaCha #40DegreeChaChaCha #3ChaDJ #Chadow #3Cha #ชาโด้ #3ช่า #แดนซ์
 #รีมิกซ์ #เพลงแดนซ์ #เพลงแดนซ์ใหม่ๆ #เพลงแดนซ์2016 #เพลงแดนซ์โคโยตี้
 #โคโยตี้คาร์ #เบสเสียงแน่น #แน่นเสียงเบส #เน้นแต่เพลงดังๆ #คัดแต่เพลงดังๆ #เน้นแต่เพลงฮิตๆ #คัดแต่เพลงฮิตๆ #แดนซ์3ช่าย้อนยุค
 #แดนซ์รำวง #แดนซ์โจ๊ะๆ เจอ๊อฟแอบจิต #ดีเจฟิว #ดีเจฟิวรีมิกซ์ #DJFew #DJFewRemix
#ว่าไงสายย่อ #เพลงแดนช์สายย่อ #สายย่อมันส์ๆ #ตื้ดๆในผับ2017 #สายเเข็ง #รวมเพลงสายย่อมันส์ๆ #รวมเพลงตื้ดๆในผับ #สายย่อ #แดนช์สายย่อ
 #เพลงตื้ด #nonstop #breakmix #edmmix #2017 #เพลงแดนช์มันๆ
 #ดีเจเจฟฟี่ #ตื้ดมันๆ2018 #สายย่อเปิดในผับ #ต้อนรับสงกรานต์ #สายย่อสงกรานต์ #สาด สาด #เพลงแดนช์สงกรานต์2558#เพลงแดนซ์มันๆ I 
#เพลงแดนซ์มันๆ I #ต้อนรับปีใหม่ 2018 I #Happy New Year 2018 I 
#แดนซ์2018 I #เพลงแดนซ์ I#เพลงแดนซ์มันๆ I #รวมเพลงแดนซ์ I เพลงแดนซ์มาใหม่ I แดนซ์มันๆ I 2018 I แดนซ์ I 
แดนซ์2018 l nonstop dj-pao-remix I pao remix I
 dj pao remix l DJ SODA coyote car thai 2018 l coyote car thai 2018 l โคโยตี้ l 
โคโยตี้2018 l โคโยตี้HD l โคโยตี้HD2018 l Dj-Sr.com I 
#สายย่อ I #เพลงสายย่อ I #สายย่อ2018 l #เพลงแดนซ์โคโยตี้ l #เพลงแดนซ์มาใหม่ l #NONSTOP l 2018 l #แดนซ์3ช่า l #3ช่าโจ๊ะๆ l
 #เพลงEDM l #เพลงตื๊ด l #เพลงแดนซ์#สุดเมามัน l #เพลงในผับ l 
#เพลงดังในผับ l #เพลงตื๊ดในผับ l #เพลงลูกทุ่ง l เพลงฮิตติดชาร์ต2018 
#แดนซ์มาใหม่ #แดนซ์2018 #รวมฮิตเพลงแดนซ์ล่าสุด #เพลงแดนซ์มันๆ
#เพลงแดนซ์ฟังเพลิน #แดนซ์ฟังสบาย #เพลงเพราะแดนซ์ #เพลงแดนซ์มัน 2017 #เบสแน่น #เพลงเพราะ #แดนซ์ฟังในรถ#วันทยาหัตถ์แดนซ์
#วันทยาหัตถ์#ปานามา#ตะตุงตวง#สายย่อ#สายแดนซ์#สายตื๊ด#สายย่อฮิตๆ#Babyshark#เบบี้ชาร์ค#มันส์ๆ#ตะตุงตวง#ปานามา#จิ๊กโก๋สามช่า
#แดนซืปีใหม่#ปีใหม่#newyear#Happynewyear
แดนซ์, แดนซ์2018, สากล, แดน, รวมเพลงแดนซ์,  
เพลงแดนซ์สายย่อ, เพลงแดนซ์, สายย่อ, สายตื๊ด, เพลงแดนซ์ตื๊ด,
เพลงแดนซ์มันๆ, เพลงแดนซ์โคตรมัน, 
เพลงแดนซ์มาใหม่, เพลงแดนซ์2016, เพลงแดนซ์2017, 
รวมทุกสาย, สายแจ๊ะ, ตื๊ดๆ, เพลงแดนซ์วัยรุ่น, 
แดนซ์มันๆ, เพลงมันส์ๆ, แดนซ์มาใหม่, เพลงแดนซ์สายแจ๊ะ, 
ดีเจ, dj,รีมิกซ์, remix,porn,hip hop,
xxx, rap, เพลง, hip hop songs,
new rap songs,

เพลงแดนซ์รีมิก,  เพลงแดนซ์มาแรง, เพลงแดนซ์ 2018,
เพลงแดนซ์ 3 ช่า, เพลงแดนซ์ สากล,  แดนซ์มันๆ 2018,
แดนซ์มันๆ 3 ช่า 2018, แดนซ์มันๆ edm, แดนซ์มันๆ ไทย, แดนซ์มันๆ 3 ช่า โจ๊ะๆ,

เพลงแดนซ์hiphop, เพลงแดนซ์hiphop2018,
เพลงแดนซ์hiphopสายร่อน, เพลงแดนซ์hiphopมันๆ,

เพลงตื้ด, เพลงตื้ดในผับ, เพลงตื้ดๆ 2018, เพลงล่าสุด, เพลงฮิตใหม่, 
เพลงตื๊ด edm,เพลงตื๊ด เบสหนักๆ,

dj pao remix, dj jr sr 2018


#กำลังมาแรงในTikTok #ดูรา (ดูรา สายร่อน 2018) 
ดูรา, ดูรา สายร่อน, [RE-UPLOAD] 
#กำลังมาแรงในTikTok #ดูรา (ดูรา สายร่อน 2018) 

เพลงแดนซ์,tik tok,tiktok,แดนซ์มันๆ,เพลงแดนซ์มันๆ,แดนซ์2018,แดนซ์, 
สายร่อน, enak,อีนาค,โคโยตี้,new melody

เพลงฮิต Tik Tik, เพลงแดนซ์110, เพลงแดนซ์ฟังสบายๆ, เพลงแดนซ์มาใหม่ๆ, 
เพลงแดนซ์ใหม่ล่าสุด, เพลงแดนซ์เพราะๆ, เพลงแดนซ์สายย่อ, เพลงแดนซ์เบสแน่น,
เพลงแดนซ์, เพลงแดนซ์ใหม่, เพลงแดนซ๋เบสแน่น, เพลงแดนซ์หมอลำ, เพลงแดนซ์ฮิตมาแรง, 
เพลงแดนซ์ฟังก่อนนอน, เพลงแดนซ์อีนาก, เพลงแดนซ์เต้นTik Tok",43,0,761,102039
36,BTS And BLACKPINK Reacting To TWICE Fanboys,['Music'],217,"BTS and BLACKPINK' reactions when they heard the fanboys of TWICE.
#twice #bts #blackpink

...........
Videos You Might Like:

TWICE Chaeyoung’s Surprised Reaction When ONCE Raised This Banner
https://www.youtube.com/watch?v=FKLOM4dgU7w

BLACKPINK, RED VELVET, TWICE - Who Is 'The Most Handsome'
https://www.youtube.com/watch?v=yX5m0oWIwkg

Philippines ONCE Going Crazy Over The Way TWICE Momo Trying To Speak Her First Tagalog
https://www.youtube.com/watch?v=p2GtWbXCMw0

Here's The Reason Why TWICE Chaeyoung Reacted Like That
https://www.youtube.com/watch?v=X8-jvwmMTcQ

All The Nominees Of 2019 MGMA (2019 M2 X Genie Music Awards)
https://www.youtube.com/watch?v=iIpgvOkeVQM&t=4s

BTS Jungkook And BLACKPINK Lisa Nominated As Best Ship For 'Nickelodeon Mexico Kid's Choice Awards'
https://www.youtube.com/watch?v=Hw5poD6vH6s

Here’s How Each BTS Member Answered 'Will You Marry Me'
https://www.youtube.com/watch?v=Zxz5QB13es8",47,0,2534,101385
37,"[NEWSEN] 블랙핑크(BLACKPINK), 꽃을 보듯 너를 본다 [뉴스엔TV] @IncheonAirport_190109",['Entertainment'],293,"'뉴스엔' 채널 구독하세요! 'Newsen' Subscribe! 클릭! ☞ https://bit.ly/2GZhivT

[인천공항(영종도)=뉴스엔 김기태 기자]

걸그룹 블랙핑크(BLACKPINK) 멤버 지수, 제니, 로제, 리사가 1월 9일 오전 태국에서 열리는 'BLACKPINK 2019 World Tour [IN YOUR AREA] BANGKOK'(블랙핑크 해외투어 인 방콕) 해외 콘서트 일정 차 인천국제공항을 통해 태국 방콕으로 출국했다.


뉴스엔 김기태 teddy@@newsen.com

.
※ Newsen (뉴스엔미디어)
◈ www.newsen.com
◈ https://twitter.com/newsen_t
◈ e-mail : newsen@naver.com (취재 및 보도 요청)",38,0,2706,96018
38,So Hot ♥ Cover Español BLACKPINK ♥,"['Music_of_Asia', 'Music']",582,"(♥ω♥*) i'm so so so hot hot... 

🍨 https://www.instagram.com/mishi_chwan/
 
♥ Holii como les va a todos y todas mis Chwanss ♥ hoy les traigo un bello cover de las hermosas BLACKPINK, ♥ me gusto mucho su versión, y es por eso que me anime a cantarla. ♥ Espero que les guste mucho, l@s amodoro ♥ no olvides que todos los sábados subo cover a las 5:00pm hora México.  ˶⚈Ɛ⚈˵ 
 
Escúchame en:
Spotify: https://goo.gl/HviSxo
Itunes: https://goo.gl/heGwpU
Amazon: https://goo.gl/5HPNFy
Google Play: https://goo.gl/aPLUjs
Deezer: https://goo.gl/NjM7vu

BLACKPINK - 'SOT HOT' 

♥Equipo Chwan
Adaptación: G-Dany y yop
Edición y master: G-Dany
Interprete: yo :u

♥Social Media:
❆ https://www.instagram.com/mishi_chwan/
❆ https://twitter.com/Mishi_Chwan

♪ Social Media GDany:
♪ https://www.instagram.com/g_danny07/
♪ https://twitter.com/g_danny07

Lyric:
Qué estás mirando, qué me ves
soy tan bonita, yo lo sé
no pueden evitarlo, me miran sin pensarlo
siempre se alocarán por mi
siempre lo hacen

todos los chicos mirarán
cuando camino junto a ti
no quiero que me vean, me abruma si voltean
no sé qué es lo que debo hacer

i'm so hot
soy muy bonita   
i'm so fine
tan atractiva yo soy
i'm so cool
maravillosa
i'm so so so hot hot

más rosa por allá y más negro por aca
ya todo va muy bien

vivir como rey
tu cuna tan simple es 
calma ya shhhhhh
esto por fin acabó
tengo completo control
yo sé lo que soy
oh, hecha en vogue


pon el pop, sube el pop, hasta el top
a rockear, a gritar, sin parar
a comprar que mi swag es importante
somos juntas la pandilla en tacones

yo solo quiero estar bien
ser una chica más normal
que enfado ser genial
la culpa es de mamá
pues ella fue la que me hizo asi

I'm so hot
soy muy bonita   
I'm so fine
tan atractiva yo soy
I'm so cool
maravillosa
I'm so so so hot hot

i'm so hot
soy muy bonita   
i'm so fine
tan atractiva yo soy
i'm so cool
maravillosa
i'm so so so hot hot.

#sohot #blackpink #blackpinkenespañol",148,0,6051,93931
39,[MR Removed] 181225 BLACKPINK (블랙핑크) - DDU-DU DDU-DU (뚜두뚜두) @ 2018 SBS 가요대전,"['Music_of_Asia', 'Hip_hop_music', 'Music']",1066,"Don't forget to subscribe my channel!

 #BLACKPINK #블랙핑크 #뚜두뚜두 #가요대전",395,0,1599,89405
40,Jensoo Jealous Moments (BLACKPINK),['Entertainment'],113,They're so in love :),31,0,1999,82922
41,BTS Reaction to Blackpink Jennie Funny And Cute Moments [Funny Kpop Idols],"['Performing_arts', 'Entertainment']",73,"Cảm Ơn Mọi Người Đã Xem Video! Nếu Hay Like & Share Giúp Mình Nhé
Mọi Người Giúp Mình Đạt Nhiệm Vụ 10,000 Người Đăng Ký Với ạ
Please click ""share"" the video and click ""Like""
Help ARMY BTS Oppa reach 10,000  Sub Now 
https://www.youtube.com/channel/UC1Q7KwHFvgWLvnf8GfpmxJg?subscriber=1

#ARMYBTS #Blackpink Jennie Funny #Cute Moments #Funny Kpop Idols
►Cảm xúc người hàn khi xem Top Những Cô Gái Xinh Đẹp Trên Tiktok Việt Nam
https://www.youtube.com/watch?v=4KCMSrUJsLM&feature=youtu.be
►Cảm xúc người hàn khi xem ""Tuyển tập thiên thần là có thật"" - Thích ngắm gái đẹp
https://www.youtube.com/watch?v=E9eFPUvk32o
►Cảm xúc người hàn khi xem [Tiktok gái xinh] - Khi Thiên thần xuống chơi tiktok Phần 1
https://www.youtube.com/watch?v=YgOANEWsjMc
►Cảm xúc người hàn khi xem [Tiktok gái xinh] - Khi Thiên thần xuống chơi tiktok Phần 2
https://www.youtube.com/watch?v=koTohV3KyDk
►Cảm xúc BTS khi xem ""DỌN NHÀ ĐÓN TẾT"" - Hậu Hoàng ft Nhung Phương
https://www.youtube.com/watch?v=H3DEhUHpHyo
►Cảm xúc người hàn khi xem Mv Thái Lan Triệu view Chuyện tình cấp ba
https://www.youtube.com/watch?v=cbAyqKeprHM
►Cảm xúc người hàn khi xem ""Đại Ca Lớp 12A"" (Túy Âm - Save Me Parody) Vanh Leg
https://www.youtube.com/watch?v=eYXISz0sK9U
►Cảm xúc người hàn khi xem Những điệu quẩy Thái Lan cực độc, cực lầy chỉ có trên tiktok
https://www.youtube.com/watch?v=lbIJFlLjgz0
►Cảm xúc người Hàn khi xem quẩy TikTok Thái Lan - Sang Thái Ngắm Gái
https://www.youtube.com/watch?v=AN6dkxqZ16g
►Cảm xúc BTS khi xem những điệu nhảy Thái Lan cực chất - Trrào lưu hot
https://www.youtube.com/watch?v=7ME70nNNl4U
►Cảm xúc người Hàn khi xem những điệu quẩy thái lan cực độc - cực phiêu TikTok Thái Lan
https://www.youtube.com/watch?v=tipuw6KFw_I
►Cảm xúc người hàn khi xem MV Triệu View 'Động Thăng Thiên' - Vanh Leg
https://www.youtube.com/watch?v=-xa3Pj3GOFM
►Cảm xúc BTS khi xem MV Nhạc chế [KÉM DUYÊN] Hậu Hoàng ft Nhung Phương
https://www.youtube.com/watch?v=-VqnUJlLNq8",37,0,1285,82870
42,😲 'SURE THING (Miguel)' COVER - BLACKPINK  - Reaction,"['Pop_music', 'Soul_music', 'Music', 'Rhythm_and_blues']",452,"►Original: https://www.youtube.com/watch?v=_7TMluHVx4Y

►BlackPink Interview/Press Reactions: https://www.youtube.com/watch?v=FF7MVOozA3w&list=PLmpXElrqknwzRWVQLrSZJRmQoAIpJZhGA
►All BlackPink Reactions: https://www.youtube.com/watch?v=iMMtL7S2lDI&list=PLmpXElrqknwz083g0jxZJ7Otwgn53koS7&index=2&t=4s

► Instagram: https://www.instagram.com/floderflo 
►business inquires: business.floderflo@gmail.com

►Send me letters  (are unpacked oncam)
Flo M.
Postfach 11 61
25442 Quickborn
Germany

► 📦 Send me packages (are unpacked oncam)
Flo M.
910374341
Packstation 117
25451 Quickborn
Germany

►Livestreams: https://www.twitch.tv/flo_derflo

Follow me here:
► Twitter: https://twitter.com/FloderFloYT
► Instagram: https://www.instagram.com/floderflo 
► Facebook: http://tinyurl.com/FBfloderflo",25,0,4936,79991
43,สาวน้อยทรงอิทธิพล!!! ลิซ่า Blackpink ทำซุปตาร์เสียอาการ,['Music'],28,"#ข่าวดารา #ข่าวดัง #ข่าววันนี้
ขอบคุณสำหรับการรับชม 
-----------------------------------------------------
แหล่งรวม เรื่องย่อละคร ข่าวฮิต ข่าวฮอต ข่าวบันเทิงฮอต ข่าวด่วนฮอต ข่าวกีฬาฮอต ติดกระแสอัพเดทตลอด 24 ชั่วโมง ""ข่าวดารา 9 ""
กด""ติดตาม"" เพื่อไม่พลาดข่าวบันเทิง ข่าวดาราวันนี้ ข่าวดาราบันเทิง ข่าวดาราประเด็ดฮอต ข่าวบันเทิง ในแวดวงการบันเทิง ดาราไทย ข่าวบันเทิงไทย",18,0,1026,80432
44,Угадай песню BLACKPINK по каверу на пианино,"['Pop_music', 'Music_of_Asia', 'Music', 'Electronic_music']",423,,75,0,2997,79015
45,[COVER] FOREVER YOUNG-BLACK PINK블랙핑크 (cover by somin)/포에버영 커버cover song,"['Music_of_Asia', 'Music']",173,"조금 지난감이 있지만, 블랙핑크의 forever young 커버입니다.😊 

Thank you for watching! 
Plz subscribe and like this vidio
I will upload other cover song vidios soon!!

앞으로의 커버를 더  보고싶으시다면 구독과 좋아요 눌러주시고 채널 자주 놀러와주세요💕❤
댓글은 많은 힘이됩니다.

E mail- soil34623462@gmail.com

[COVER] FOREVER YOUNG-BLACK PINK블랙핑크 (cover by somin)/포에버영 커버

INST - 두피아노 doopiano
 https://www.youtube.com/watch?v=dzzeofYUZdw",48,0,4267,77411
46,NEW BLINK reaction to A Beginner's Guide to Blackpink! (who is who?) by GayPop,['Entertainment'],424,"►All BlackPink Reactions Playlist: https://www.youtube.com/watch?v=iMMtL7S2lDI&list=PLmpXElrqknwz083g0jxZJ7Otwgn53koS7&index=2&t=0s
►BlackPink Diaries Playlist: https://www.youtube.com/watch?v=JrUr-bG6pKQ&list=PLmpXElrqknwwNwo85d-KInk41pGDQUjDA&index=2&t=0s


►Original: https://www.youtube.com/watch?v=Gs6ITJlq3FQ
► Instagram: https://www.instagram.com/floderflo 
►business inquires: business.floderflo@gmail.com

►Send me letters  (are unpacked on cam)
Flo M.
Postfach 11 61
25442 Quickborn
Germany

► 📦 Send me packages (are unpacked on cam)
Flo M.
910374341
Packstation 117
25451 Quickborn
Germany

►Livestreams: https://www.twitch.tv/flo_derflo

Follow me here:
► Twitter: https://twitter.com/FloderFloYT
► Instagram: https://www.instagram.com/floderflo 
► Facebook: http://tinyurl.com/FBfloderflo",44,0,3682,75986
47,"IDOLS DE KPOP QUE SÃO PARECIDOS! (Bts, blackpink, exo, nct...)",['Entertainment'],1968,"Fala com a gente gal, somos a NATY E A ISA! 
Hoje a temática do vídeo ta BEM LEGAL, vamos falar sobre idols no kpop que se parecem! Quais são os clones do kpop? Vem com a gente
#kpopidols #clonesofkpop

Quem somos?
Duas amigas alucinadas pela COREIA DO SUL e resolvemos criar esse canal para trazer para vocês tudo sobre K-POP, K-BEAUTY E K-DRAMAS! Esperamos que vocês gostem.
Teremos vídeo novo toda segunda, a partir das 18hrs no canaL, se interessou? SE INSCREVA AÍ E MOSTRE PRO COLEGUINHA, vamos fazer esses brasuca perder o preconceito com essa Ásia TÃO MARAVILHOSA? Então é isso, Annyeong (안녕)!!!

Vamos ser migos na net? Segue lá:
Twitter - @natisatv
Instagram - @natisatv
Insatagram (pessoal) - @namaral92 / @isagualbertos

Arte da thumbnail: @tetef.silveira
Arte da capa do canal e vinheta: Vitória",90,0,12161,75418
48,POR QUE A ROSÉ DO BLACKPINK É ESQUECIDA PELA YG?,"['Entertainment', 'Television_program']",1092,"Fala com a gente gal, somos a NATY E A ISA! 
E hoje vamos analisar o porque da ROSÉ do blackpink ser a membro MAIS BOICOTADA pela YG dentre as meninas do BLACKPINK! Se liga aí 
#STAYSTRONGROSE #BLACKPINK #블랙핑크


Video sobre a jennie: https://m.youtube.com/watch?v=7KMC-dsyxoc

VIdeo sobre a jisoo: https://m.youtube.com/watch?v=eOJx-Bn5tAw

Quem somos?
Duas amigas alucinadas pela COREIA DO SUL e resolvemos criar esse canal para trazer para vocês tudo sobre K-POP, K-BEAUTY E K-DRAMAS! Esperamos que vocês gostem.
Teremos vídeo novo toda segunda, a partir das 18hrs no canaL, se interessou? SE INSCREVA AÍ E MOSTRE PRO COLEGUINHA, vamos fazer esses brasuca perder o preconceito com essa Ásia TÃO MARAVILHOSA? Então é isso, Annyeong (안녕)!!!

Vamos ser migos na net? Segue lá:
Twitter - @natisatv
Instagram - @natisatv
Insatagram (pessoal) - @namaral92 / @isagualbertos

Arte da thumbnail: @tetef.silveira
Arte da capa do canal e vinheta: Vitória",102,0,11436,74202
49,[TUTORIAL] Black Pink(블랙핑크)_STAY(스테이) 기타강좌,"['Music', 'Music_of_Asia']",33,"악보는 팝콘기타 홈페이지에서 구매하실 수 있습니다 :)
http://www.popkornguitar.com
[강좌 신청 및 MR 제작도 홈페이지에서 하실 수 있습니다]

개인레슨 안내(블로그)
http://blog.naver.com/srv022/220922948109

개인공간 인스타그램 소통해요 ^0^
https://www.instagram.com/popkornguitar/

페이스북 페이지(잘 안함...ㅜ)
https://www.facebook.com/popkornguitar/",12,0,1538,74153
