,Title,cates,commentCount,description,dislikeCount,favoriteCount,likeCount,viewCount
10,"[Sub español] BTS juega a ""Intenta no sonreír"".",['Music'],,"NO SUBIR O SACAR SUBTÍTULOS.

------------------------------------------------------

Sígueme en twitter: @yoongified93
Donaciones (como subtituladores no ganamos dinero de Youtube):  https://www.buymeacoffee.com/yoongified93
Sugiere algún video (a excepción de Vlive): bit.ly/linksyf93",301,0,70946,1081220
11,[Sub español] 6 minutos de BTS molestando a Jimin.,['Music'],,"NO SUBIR O SACAR SUBTÍTULOS.

------------------------------------------------------

Sígueme en twitter: @yoongified93
Donaciones (como subtituladores no ganamos dinero de Youtube):  https://www.buymeacoffee.com/yoongified93
Sugiere algún video (a excepción de Vlive): bit.ly/linksyf93",322,0,47070,1080145
12,[BTS] VẠCH TRẦN SỰ THẬT DI DI & MISTHY TRONG CAO THỦ SÁT TRAI (Boombayah chế),"['Music_of_Asia', 'Music', 'Electronic_music']",1048,"[BTS] VẠCH TRẦN SỰ THẬT DI DI & MISTHY TRONG CAO THỦ SÁT TRAI (Boombaya chế)

Các ông nhớ LIKE, SHARE & SUBSCRIBE cho Di Di nha ! Yêu Thương.
#didi #Boombayahche #caothusattrai

Facebook Di Di: https://www.facebook.com/mcdidivn/
Facebook Group (Di Di & Xưởng Chế Tạo IDID): https://www.facebook.com/groups/1839980929628718/
Instagram Di Di: @dithanhthanh
Zing mp3: https://mp3.zing.vn/nghe-si/Di-Di

LIÊN HỆ KHÁC 
► CONTACT : partners@creatory.vn
► WEBSITE : creatory.vn
► FACEBOOK : facebook.com/CreatoryVN",543,0,22913,1066638
13,"[SUB ESP/POR]BTS JUNGKOOK, TAEHUYNG,SUGA,JIMIN ""5th ARMY ZIP"" [ACTIVA LOS SUBTITULOS ] ♡",['Music'],1581,"UNETE: https://chat.whatsapp.com/HawJbWuIvmu09FiKdREqP2 

¡ACTIVEN LOS SUBTITULOS EN CC!

Canal 2: https://www.youtube.com/channel/UCRb_6m5q2CdHUeCFQ-Plu4Q

••••••••••••••••••••••  ARMY ♡ •••••••••••••••••••••••


¡Gracias por ver el video! ¡POR FAVOR, DALE ME GUSTA y COMPARTE este video! No te olvides de SUSCRIBIRTE a mi canal.

SIN INTENCIONES DE INFRINGIR LOS DERECHOS DE AUTOR.

No poseemos la MÚSICA / CONTENIDO . Todos los derechos reservados para el propietario original.

[¡Esto solo para fines de entretenimiento para army!]

••••••••••••••••••••••••ARMY ♡ ••••••••••••••••••••••••


Thanks for watching the video! PLEASE, I LIKE AND SHARE this video! Do not forget to SUBSCRIBE to my channel.

WITHOUT INTENTIONS TO INFRINGE COPYRIGHT.

We do not have the MUSIC / CONTENT. All rights reserved for the original owner.

[This only for entertainment purposes for the army!]

#BTS  #ARMY #KOOK #TAE  #SUGA #JIMIN",237,0,50821,1066060
14,190321 MEDLEY BTS V focus. LYS in hongkong 방탄소년단 뷔 태형 메들리,"['Music', 'Pop_music']",933,,189,0,49000,1027461
15,Anh em thương nhau thật sự  [phần 2] / BTS IS A FAMILY,['Music'],1303,"“Cậu ấy là thanh xuân của tôi, là bí mật không thể bật mí, là lời yêu chẳng dám tỏ và cũng là nỗi đau ngọt ngào của một thời tuổi trẻ.

Cậu ấy là năm tháng của lưng chừng giữa trưởng thành và trẻ con, là nụ cười, là nước mắt, cậu ấy là xuân xanh, là hạ vàng, là thu nhạt, là đông tàn, là tất cả thương mến.

Cậu ấy là người tôi thương, thương đến chẳng dám chung đường.”

Các bạn nhấn theo dõi  kênh để cập nhật vid mới nhé!! 
https://youtu.be/DcS2OfACLMg

mọi đóng góp vui lòng cmt bên dưới để page cải thiện hơn nhiều mứt hơn Thanks các chị em bạn dì ^^ (Thanks for all your support, rating the video and leaving a comment is always appreciated!) 

xin cmt thiện chí nhé, những cmt có ý gây war hoặc vô văn hóa sẽ bị xóa nhé.
 




- xin đừng cắt hoặc reup video bất kỳ đâu khi chưa có sự chấp thuân của Lớt ( có thể share link) / PLESE DO- NOT REUPLOAD

-Copyright disclaimer! I do NOT own this song nor the image featured in the video. All rights belong to it's rightful owners. No copyright infringement intended.

Lớt cảm ơn ạ",171,0,29834,1003417
16,[BTS] DI DI GẶP SỰ CỐ MA ÁM RÙNG RỢN KHI ĐI QUAY NHẠC CHẾ | DI DI,['Entertainment'],846,"[BTS] DI DI GẶP SỰ CỐ MA ÁM RÙNG RỢN KHI ĐI QUAY NHẠC CHẾ? | DI DI

Các ông nhớ LIKE, SHARE & SUBSCRIBE cho Di Di nha ! Yêu Thương.
#didi #tieuchuanconcung #hautruongnhacche

Facebook Di Di: https://www.facebook.com/mcdidivn/
Facebook Group (Di Di & Xưởng Chế Tạo IDID): https://www.facebook.com/groups/1839980929628718/
Instagram Di Di: @dithanhthanh
Zing mp3: https://mp3.zing.vn/nghe-si/Di-Di

► NẾU CÓ VẤN ĐỀ VỀ BẢN QUYỀN XIN LIÊN HỆ:
     Email: partners@creatory.vn và didi@creatory.vn

LIÊN HỆ KHÁC 
► CONTACT : partners@creatory.vn
► WEBSITE : creatory.vn
► FACEBOOK : facebook.com/CreatoryVN",345,0,12803,956613
17,BTS Reaction to Stray Kids @GDA 2019,"['Music_of_Asia', 'Music']",866,full video: https://youtu.be/X3YGFJfHMKQ,132,0,32835,916278
18,[BTS] DI DI QUẨY TỤT CẢ VÁY CƯỚI TRONG HẬU TRƯỜNG CAO THỦ SÁT TRAI PHẦN 3 | DI DI,"['Entertainment', 'Television_program']",696,"[BTS] DI DI QUẨY TỤT CẢ VÁY CƯỚI TRONG HẬU TRƯỜNG CAO THỦ SÁT TRAI PHẦN 3 | DI DI
----
Theo dõi cùng tui trong hậu trường MV nhạc chế nha mấy ông!
Xem lại MV Cao Thủ Sát Trai 3: Cao Thủ Của Cao Thủ nha: https://youtu.be/PkviBot7rUQ
#didi #caothusattrai #ctst
----
Các ông nhớ LIKE, SHARE & SUBSCRIBE cho Di Di nha ! Yêu Thương.

Facebook Di Di: https://www.facebook.com/mcdidivn/
Facebook Group (Di Di & Xưởng Chế Tạo IDID): https://www.facebook.com/groups/1839980929628718/
Instagram Di Di: @dithanhthanh
Zing mp3: https://mp3.zing.vn/nghe-si/Di-Di
--------
Project Manager: Tom
Director: TPK 
Script Writer: Di Di
Lyrics Writer: Di Di
D.O.P: Chấn Thạch
Cameraman Assistant: Dimal Cao
Location: Bảo Thư
Props: Bảo Thư - Vy Võ
Designer: MBC
Support: Nguyễn Nghị - Lee Nguyễn - Kai - Tín Lê - Hiệp Đoàn

Music Producer: D2N
Vocal: Di Di - Long.C - Min Min
Recording: Long.C
Mix & Master: Long.C

Special Guests:
Long.C: https://www.youtube.com/channel/UCIvMiis1ChdX7ft3RMyYNZQ
Oops Banana: https://www.youtube.com/channel/UCuygBqDmC3r93ABO6BUMj6A
Cường Kido: https://www.youtube.com/channel/UCwAY0kqBiVlEEbdcxzFOVJw
Cà Chua Đỏ: https://www.youtube.com/channel/UCztWDyBGuLYvFrn3ffwN5oQ
Min Min: https://www.youtube.com/user/handsome2805
Phương Linh: https://www.facebook.com/phuonglinh.phuonglinh.96

.... cùng các diễn viên khác! 

► NẾU CÓ VẤN ĐỀ VỀ BẢN QUYỀN XIN LIÊN HỆ:
     Email: partners@creatory.vn & didi@creatory.vn

LIÊN HỆ KHÁC 
► CONTACT : partners@creatory.vn
► WEBSITE : creatory.vn
► FACEBOOK : facebook.com/CreatoryVN",294,0,12190,890412
19,BTS MUSICAL.LY COMPLICATION 😀,['Music'],1237,"Bts are all over musical.ly
Follow my Musical.ly",293,0,26244,867006
20,[BTS] DI DI LÀM GÌ MỜ ÁM SAU HẬU TRƯỜNG LOVEY DOVEY CHẾ? | DI DI,['Music'],880,"[BTS] DI DI LÀM GÌ MỜ ÁM SAU HẬU TRƯỜNG LOVEY DOVEY CHẾ? | DI DI

Các ông nhớ LIKE, SHARE & SUBSCRIBE cho Di Di nha ! Yêu Thương.
#didi #hautruongnhacche #loveydoveyche

Facebook Di Di: https://www.facebook.com/mcdidivn/
Facebook Group (Di Di & Xưởng Chế Tạo IDID): https://www.facebook.com/groups/18399...
Instagram Di Di: @dithanhthanh
Zing mp3: https://mp3.zing.vn/nghe-si/Di-Di

LIÊN HỆ KHÁC 
► CONTACT : partners@creatory.vn
► WEBSITE : creatory.vn
► FACEBOOK : facebook.com/CreatoryVN",362,0,12829,778128
21,يوم تاريخي 🔥😍 BTS  سعودي ريبورترز قضوا يوم كامل في حفلة,['Entertainment'],5687,"!و راح يتصور سيلفي مع أعضاء الفرقة بهدف تنفيذ التحدي مع عبد الله BTS عبد العزيز من فريق سعودي ريبورترز راح يحضر حفلة 

Abdulaziz one of The Saudi Reporters goes to BTS concert to take a selfie with the band. Watch what happens!  *English subtitles available*

استمتع بفعاليات موسم الرياض من 11 أكتوبر إلى منتصف ديسمبر

#سعودي_ريبورترز #BTS  #riyadhseason #riyadh #enjoysaudi #saudiarabia #sauditourism 
#موسم_الرياض #تركي_الشيخ


شيّك على موقعنا https://RiyadhSeason.sa
حمّل تطبيقنا: http://onelink.to/mzwqk2
تابعنا على تويتر: https://twitter.com/RiyadhSeason
تابعنا على انستقرام: https://instagram.com/RiyadhSeason
شف تغطياتنا بـ سناب شات: https://snapchat.com/add/RiyadhSeason
لايك لصفحتنا في فيسبوك: https://facebook.com/RiyadhSeason",2905,0,46268,762111
22,[Sub español] BTS jugando Jenga.,['Entertainment'],,"NO SUBIR O SACAR SUBTÍTULOS.

------------------------------------------------------

Sígueme en twitter: @yoongified93
Donaciones (como subtituladores no ganamos dinero de Youtube):  https://www.buymeacoffee.com/yoongified93
Sugiere algún video (a excepción de Vlive): bit.ly/linksyf93",241,0,30403,742042
23,MORE BTS #01 | BTS on Minions,"['Film', 'Entertainment']",198,,467,0,5214,707659
24,BTS Bangtan Boys - V (Kim Taehyung) Doll Repaint by Poppen Atelier (방탄소년단 김태형 인형) Boy With Luv,"['Lifestyle_(sociology)', 'Hobby', 'Fashion']",4988,"Today I'm going to repaint one of the new BTS dolls from Mattel - V (Kim Taehyung)

You can buy this doll here:
https://www.ebay.com/usr/poppenatelier

How to Repaint Big Barbie Head:
https://youtu.be/U6-oxIN3Kys

My Best Doll Repaint:
https://youtu.be/2c2BLD_44O0

Repainting Big 17'' Monster High Doll:
https://youtu.be/J5b7o8MBosk

I post a new doll repaint every week Friday and I mostly work on Monster High and Barbie dolls. Also next to the speedpaint drawing tutorials on my Doll Channel you can find numerous Craft Ideas for Barbie, Monster High, Ever After High dolls. I have lots of DIY Projects and crafts for kids and parents.  

My dolls can be purchased here: http://www.etsy.com/shop/poppenatelier
Instagram: @poppenatelier
Pinterest: https://www.pinterest.com/poppenatelier

Which materials to choose for doll repaint? Check my video here:
https://www.youtube.com/watch?v=LqYgT1jbDzE

How to prepare a doll for customizing? Check it here:
https://www.youtube.com/watch?v=SQVRocFa3_I

How to reroot your old doll hair:
https://www.youtube.com/watch?v=Zm3YDwTX7Ug

How to blush doll body:
https://www.youtube.com/watch?v=nGZrtJK80hU",1241,0,54364,680094
25,BTS: Quiz - Are you a true army? (Easy),['Music'],3251,Mashup Fire/Not Today - https://www.youtube.com/watch?v=LKLOrouU07I&ab_channel=RYUSERALOVER,324,0,16645,667687
26,JADI MANAGER BTS? VIDEOCALL SAMA JIMIN?! #RACUNJEAN,['Entertainment'],2303,"Guide bermain BTS WORLD ❤️
Sekarang kamu bisa ngobrol, telfon dan jadi manager BTS!!!
Akhirnya BIGHIT merilis game keren ini!!!

Link pre-register ""BTS WORLD"":
https://btsw.netmarble.com/

Thank you for watching~

Follow me on Instagram:
https://www.instagram.com/jeanethmihardja/

#BTS #BTSWORLD #방탄소년단",857,0,27208,663303
27,NHỮNG QUẢ TÓC GÂY NHỨC NHỐI 1 THỜI CỦA BANGTAN =))) / BTS FUNNY HAIR EVER,['Entertainment'],1407,"Các bạn Subscribe kênh để cập nhật vid mới nhé!! https://youtu.be/DcS2OfACLMg
mọi đóng góp vui lòng cmt bên dưới để page cải thiện hơn nhiều mứt hơn Thanks các chị em bạn dì ^^a
cmt thiện chí nhé, những cmt có ý gây war hoặc vô văn hóa sẽ bị xóa nhé
link vote Mama :http://mama.mwave.me/myVoteState",177,0,15849,659447
28,"[BTS] HẬU TRƯỜNG ""ĐẪM NƯỚC MẮT"" CỦA BBOOM BBOOM CHẾ | DI DI",['Music'],316,"[BTS] HẬU TRƯỜNG ""ĐẪM NƯỚC MẮT"" CỦA BBOOM BBOOM CHẾ | DI DI

Các ông nhớ LIKE, SHARE & SUBSCRIBE cho Di Di nha ! Yêu Thương.
#bts #didi #bboombboomche

Facebook Di Di: https://www.facebook.com/mcdidivn/
Facebook Group (Hậu Cung Của Di Di): https://www.facebook.com/groups/18399...
Instagram Di Di: @dithanhthanh
Zing mp3: https://mp3.zing.vn/nghe-si/Di-Di

LIÊN HỆ KHÁC 
► CONTACT : partners@creatory.vn
► WEBSITE : creatory.vn
► FACEBOOK : facebook.com/CreatoryVN",293,0,6715,661917
29,"Hậu Trường Cảnh ""Giường Chiếu"" Của Lan Ngọc và Bình An - BTS #27  | Mối Tình Đầu Của Tôi",['Entertainment'],128,"Mối Tình Đầu Của Tôi là câu chuyện lãng mạn và hài hước về tình bạn, tình yêu và công việc của những người trẻ hiện đại. 
Phim xoay quanh câu chuyện của đôi bạn thân An Chi và Hạ Linh. Trong khi Hạ Linh là cô gái xinh đẹp, thành đạt và nhiều chàng trai đeo đuổi thì An Chi lại có một ngoại hình không thu hút, thất nghiệp và phong cách ăn mặc lỗi thời. Thế nhưng họ có một tình bạn rất đẹp từ thời thơ ấu đến hiện tại mà ai cũng phải ghen tỵ. 
Cho đến khi hai anh chàng “soái ca” Nam Phong và Minh Huy xuất hiện và làm xáo trộn cuộc sống của hai cô nàng.
------------- 
Theo dõi thông tin phim tại Fanpage: https://www.facebook.com/moitinhdaucuatoidrama/",133,0,2348,660088
30,Eat Bulaga BTS | Maine Mendoza Core Member for A Day (FULL VIDEO),"['Entertainment', 'Television_program']",1390,"Si Maine naman susubukan na maging member ng Saturday Core. Pasado kaya siya sa mga ka-grupo niya?

SUBSCRIBE to our channel now to get exclusive videos and full episodes of Eat Bulaga! Be with your favourite Dabarkads 24/7! 

YouTube Channel:  http://bit.ly/1Z4PNPJ

FOLLOW US! 
EB on Facebook: https://www.facebook.com/EBdabarkads/timeline
EB on Twitter: https://twitter.com/EatBulaga
EB on Instagram: https://www.instagram.com/eatbulaga1979/

ABOUT EAT BULAGA
Eat Bulaga! (or EB) is the longest noon-time variety show in the Philippines produced by Television And Production Exponents Inc. (TAPE) and currently aired by GMA Network. The show broadcasts from The New TAPE Studios (Eastside Studio) at the GMA Broadway Centrum in New Manila, Quezon City. Eat Bulaga! is aired Weekdays at 12:00pm to 2:35pm and Saturdays at 11:30am to 2:45pm (PHT).

Studio Booking & Reservations: http://bit.ly/1O2IP7H

#EatBulagaBTS #MaineMendoza",380,0,15159,645938
31,[K-POP ИГРА] ТЫ АРМИ? ТЕСТ КАК ХОРОШО ТЫ ЗНАЕШЬ BTS,"['Television_program', 'Entertainment', 'Performing_arts']",3674,за каждый правильный ответ в мини-игре тоже идёт +1 балл!,570,0,27993,623433
32,Những khoảnh khắc vi diệu lầy lội của BTS khi nghỉ hè || Suneo Xeko BTS,"['Entertainment', 'Performing_arts']",458,"Chúng ta sẽ hẹn nhau dưới khung của ngôi nhà cũ.

Dưới bóng giàn hoa June.

Và em sẽ kể với anh bí mật của tuổi ấu thơ.

Về con chim ác là không kịp bay đi trú đông, chết cóng dưới tuyết.

Về chiếc chìa khóa em giấu dưới lọ hoa thứ ba, khi em chạy chơi trong đêm, trốn khỏi nhà...
__

.mẹ kế.


Liên hệ với chúng mình qua Fanpage:

For Real - BTS VHope Vietnamese Fanpage : https://www.facebook.com/btstaeseok/


BigHit Entertainment. Rights are reserved selectively in the video.
Unauthorized reproduction is a violation of applicable laws. 
Manufactured by BigHit Entertainment, Seoul, Korea



Connect with BTS:
http://www.ibighit.com 
http://twitter.com/BTS_bighit 
http://twitter.com/BTS_twt 
https://www.facebook.com/ibighit/
http://www.facebook.com/bangtan.official
http://instagram.com/BTS.bighitofficial
http://weibo.com/BTSbighit",121,0,9966,601041
33,[Sub español]171117 BTS habla de chicas y crushes de Hollywood,['Music'],,"NO SUBIR O SACAR SUBTÍTULOS.

------------------------------------------------------

Sígueme en twitter: @yoongified93
Donaciones (como subtituladores no ganamos dinero de Youtube):  https://www.buymeacoffee.com/yoongified93
Sugiere algún video (a excepción de Vlive): bit.ly/linksyf93",111,0,24682,583629
34,Тестирую косметику BTS 💋 BT21 | Лисса,['Lifestyle_(sociology)'],3378,"кидайте это видео вашим знакомым ARMY Помогите распространить это видео.

Первая часть обзора косметики от БТС БТ21 https://www.youtube.com/watch?v=yaLzo78Z534
А это видео полная трансформация в  Азиатский вирусный макияж и что используют азиатки чтоб стать красивыми. А вы скажите как вам такая техника нанесения макияжа и вообще что думаете ? 
Азиатский вирусный макияж  :https://youtu.be/fziwnRoZeKY
Макияж азиатскими лайфхаками https://youtu.be/Qzr-nMmMeso


♡♡♡------♡♡♡------♡♡♡

ИНСТАГРАМ: http://instagram.com/aveme_lissa
ВКОНТАКТЕ: https://vk.com/aveme_lissa
ПО РЕКЛАМЕ : Lissaaveme@wildjam.ru 
АВЕМИ КИСА( петс канал) : https://goo.gl/KtQU3t

♡♡♡------♡♡♡------♡♡♡




Всем спасибо за просмотр лайк и ТЫК (подписку) и до новых встреч!
 #Лисса #asian #viralmakeup #viralmakeupvideos,
#makeup #transformations
#viral #asianmakeup #btscosmetics #bt21makeup

https://www.youtube.com/c/lissaaveme",605,0,37483,574335
35,"[BTS] HẬU TRƯỜNG BAAM CHẾ ""ƯỚT ÁT"" NHƯ NÀO? | DI DI",['Music'],505,"[BTS] HẬU TRƯỜNG BAAM CHẾ ""ƯỚT ÁT"" NHƯ NÀO? | DI DI

Các ông nhớ LIKE, SHARE & SUBSCRIBE cho Di Di nha ! Yêu Thương.
#bts #baamche #didi

Facebook Di Di: https://www.facebook.com/mcdidivn/
Facebook Group (Hậu Cung Của Di Di): https://www.facebook.com/groups/18399...
Instagram Di Di: @dithanhthanh
Zing mp3: https://mp3.zing.vn/nghe-si/Di-Di

LIÊN HỆ KHÁC 
► CONTACT : partners@creatory.vn
► WEBSITE : creatory.vn
► FACEBOOK : facebook.com/CreatoryVN",292,0,8817,572815
36,[LEGENDADO] STARCAST: BTS Sorte ou Azar EP. 3,"['Performing_arts', 'Entertainment']",889,"DailyMotion: dailymotion.com/bangtanbrasil
Facebook: facebook.com/BangtanBrasil
Twitter: twitter.com/BTS_BR
ASK: ask.fm/bangtanbrasil
ASK DE LEGENDAS: ask.fm/BTSBrLegendas
Wordpress: btsbr.wordpress.com
Tumblr: btsbr.co.vu/",73,0,24706,568021
